BID,Time1500,Time1501,Time1502,Time1503,Time1504,Time1505,Time1506,Time1507,Time1508,Time1509,Time1510,Time1511,Time1512,Time1513,Time1514,Time1515,Time1516,Time1517,Time1518,Time1519,Time1520,Time1521,Time1522,Time1523,Time1600,Time1601,Time1602,Time1603,Time1604,Time1605,Time1606,Time1607,Time1608,Time1609,Time1610,Time1611,Time1612,Time1613,Time1614,Time1615,Time1616,Time1617,Time1618,Time1619,Time1620,Time1621,Time1622,Time1623,Time1700,Time1701,Time1702,Time1703,Time1704,Time1705,Time1706,Time1707,Time1708,Time1709,Time1710,Time1711,Time1712,Time1713,Time1714,Time1715,Time1716,Time1717,Time1718,Time1719,Time1720,Time1721,Time1722,Time1723,Time1800,Time1801,Time1802,Time1803,Time1804,Time1805,Time1806,Time1807,Time1808,Time1809,Time1810,Time1811,Time1812,Time1813,Time1814,Time1815,Time1816,Time1817,Time1818,Time1819,Time1820,Time1821,Time1822,Time1823,Time1900,Time1901,Time1902,Time1903,Time1904,Time1905,Time1906,Time1907,Time1908,Time1909,Time1910,Time1911,Time1912,Time1913,Time1914,Time1915,Time1916,Time1917,Time1918,Time1919,Time1920,Time1921,Time1922,Time1923,Time2000,Time2001,Time2002,Time2003,Time2004,Time2005,Time2006,Time2007,Time2008,Time2009,Time2010,Time2011,Time2012,Time2013,Time2014,Time2015,Time2016,Time2017,Time2018,Time2019,Time2020,Time2021,Time2022,Time2023,Time2100,Time2101,Time2102,Time2103,Time2104,Time2105,Time2106,Time2107,Time2108,Time2109,Time2110,Time2111,Time2112,Time2113,Time2114,Time2115,Time2116,Time2117,Time2118,Time2119,Time2120,Time2121,Time2122,Time2123
0,9.958823819,6.639215879,3.31960794,0,0,0,0,0,5.715568468,9.958823818,14.92055708,16.5980397,18.06779809,15.17295257,14.95021919,16.79309448,12.46734747,25.07566306,17.45839083,14.38688901,12.35478435,12.35478435,11.17019881,10.9469776,6.639215879,3.376320202,3.319607939,0,0,0,0,3.31960794,6.639215878,13.27843176,13.65657246,14.92595741,13.86727798,19.91764764,16.48943433,19.91764764,13.86727798,13.86727798,22.1760801,19.96468643,16.59803969,16.59803969,15.77427687,16.5980397,8.326821256,3.319607939,3.319607939,0,0,0,3.319607939,3.319607939,6.639215878,11.32662737,18.67547796,19.87541493,15.87601938,21.9950859,12.96640059,17.92892467,14.10219458,13.27843176,13.41954816,10.78427686,14.65406858,16.59803969,9.958823818,9.958823817,9.646792647,3.31960794,3.31960794,0.005520818,0,0,0,3.319607939,6.639215879,13.27843176,16.17796972,13.27843176,13.27843176,12.62552063,11.97507402,13.44893382,13.52736916,15.87601938,13.34719897,16.59803969,13.27843176,12.96640059,19.95203125,9.958823817,8.16742551,3.319607939,3.319607939,3.319607939,3.319607939,0.239858209,0,3.319607939,4.847788165,9.958823818,16.5980397,29.46050638,10.54767005,13.65657246,8.950379708,12.03626208,11.06230874,11.41196398,10.78258664,21.93389783,13.27970295,15.69196639,13.27843176,9.958823818,6.639215879,16.59803969,3.31960794,3.31960794,0,0,0,3.319607939,3.319607939,16.5980397,16.84697711,24.07252417,12.70953985,16.9761804,20.75291623,30.22436933,19.91764763,20.16658504,10.33696452,11.33354624,11.33594707,13.27843176,13.30060643,13.31700057,19.91764764,29.87647146,4.727414684,3.801940577,0,0,0,3.319607939,6.639215878,13.27843176,13.27843176,13.34730217,19.91764763,18.67547796,20.10393738,16.62021437,19.76004331,17.97276212,16.51888375,16.03680897,13.19927581,9.958823818,13.619817,23.23725558
1,595.4852829,309.3128349,158.3222809,10.88624034,23.73117709,3.215337487,0,115.6326151,386.8085772,1130.173678,2640.560407,3114.711809,3288.373462,2735.433549,2597.203026,2883.83566,3601.326703,3572.176305,3271.160303,2110.272936,1206.54685,1023.939407,699.8984111,604.7395847,489.217863,338.6400766,107.1196271,0,0,0,0,81.95022735,466.6920981,1324.126391,2622.964362,2833.866772,3102.716265,2830.767113,3009.266451,3052.329238,3135.26931,3489.774033,3101.427395,2099.805444,1031.482067,874.2882096,797.8500562,680.2604215,393.6202205,355.7827291,268.5239871,22.54902669,0,0,0,238.092317,377.8320897,1389.559764,2608.089807,3164.638971,2882.266902,2660.155126,2850.129365,3246.178483,3351.245057,3222.963061,2862.023122,2219.986641,1094.731497,866.3845277,747.1442371,575.4405419,432.0473819,296.3001904,154.417588,0,0,0,2.575342032,198.752984,430.7637739,1074.342375,2349.549398,2920.322057,3020.433061,2829.751562,2802.688556,3046.638656,2964.334392,3045.105135,2837.943745,1965.886651,1068.980817,695.8818202,793.1226548,526.5114235,424.9778117,289.6609048,37.98159452,56.11901244,0,0,15.28952392,169.8470342,492.3730765,1398.565215,2588.616624,3696.094923,3156.308426,2505.957091,2945.761596,3137.795588,2980.75538,3184.24258,2950.133565,1898.239231,1218.382244,864.7081445,905.1933761,581.3531952,477.4067251,348.6692607,193.8700898,19.67554361,0,0,96.0601652,97.94195293,309.6151357,853.5148533,2146.763936,2390.655285,2604.300338,2293.032826,1832.809887,2075.590785,1341.433623,1486.113221,1083.758905,1104.378939,873.9644455,812.5802872,840.4287236,586.309969,951.664027,634.1857272,360.697377,120.7810089,0.450942141,0,125.8041527,188.0775093,369.8465027,811.2064249,2229.38602,3194.448382,2727.393764,2103.21574,2852.827232,2908.725591,3324.020014,3077.595626,2750.205563,1635.194123,1065.079357,925.0867524,711.1446101,733.6041054
2,164.5299046,118.0393814,59.43352056,41.97696817,0,0,0.087475572,18.23799809,110.3284869,187.6968679,291.8453564,280.013012,304.6437725,252.1128835,268.718031,261.9790518,338.9279162,348.9712917,297.0768316,296.4491403,263.7968299,206.4487031,211.1720155,206.3902084,163.910083,151.358643,61.64658147,14.16747058,0,0,0,44.63064193,69.96697715,223.3398452,227.9096976,278.8555309,235.7803086,295.2324951,333.2143522,308.2572535,308.073633,288.9770228,335.3892022,345.5272033,234.4537968,207.5081021,187.7132088,192.8414344,150.3365484,103.9050547,60.10796705,15.61448397,4.913611179,0,23.7925541,27.12379552,108.6266978,263.2051714,279.7088133,326.0411253,284.4025343,339.9506946,250.9231043,314.4048842,298.7913827,240.9452219,310.9904436,260.5378766,255.7485133,219.3238776,263.0293136,185.7500328,144.7540583,107.1885717,54.06934311,41.07673451,0,0,5.668609319,55.92425098,87.27841999,214.4467407,299.3784984,248.13521,224.0190523,244.3605808,266.410573,265.3990675,233.7087089,293.9165545,279.3725785,247.4031235,228.3261855,208.707393,244.4169822,179.8335201,172.2080263,104.3237945,54.58070757,44.63064193,15.25357687,6.720077692,5.295164316,55.33224238,91.76786924,325.8809069,282.2019842,446.3221341,246.5302628,242.589337,216.9491393,236.3087971,235.7253392,297.5452116,280.1914477,264.7713161,223.2918252,250.9777763,178.2793004,242.9644319,141.7877502,167.1160678,63.75883363,44.63064193,5.970644344,0,1.099848694,52.22135331,64.83256059,234.6332381,279.9605987,337.9322126,276.3439201,240.3227283,292.0983137,425.4257555,330.5488699,328.6587722,206.6228525,256.3093648,295.4162782,239.9872273,221.0169448,208.2547132,328.3169714,329.893886,123.533903,79.7989392,16.19138185,1.121850208,3.119425049,44.63064193,97.66540998,184.7507928,267.20914,291.9594196,349.7938495,257.7190851,328.943659,309.3990471,338.9104952,331.6612039,389.3035482,270.074254,225.5401794,217.0720602,196.2127533,254.8601725
3,27.07991571,10.66409783,5.332048913,5.332048913,0,0,0,5.332048913,10.66409783,19.27392692,30.38299526,37.01538295,21.32819565,23.69692027,44.61844011,49.93739406,39.74675431,48.4566575,39.07604958,35.84307493,25.17858242,25.17858242,24.57240732,17.89748003,18.16002281,14.81686675,5.332048913,4.843372707,0,0,0,5.332048913,10.70467148,33.88179765,33.4276842,38.53326203,36.11154855,37.32434239,33.46076467,35.66091335,46.77564638,45.98754202,32.03073154,30.11042007,35.15428188,32.52824224,25.96464323,34.15616955,26.66024456,12.8279739,7.664393062,5.332048913,0.89858787,0,0,5.332048913,10.69513402,22.66988506,26.2763389,42.65622966,33.96879791,36.33352686,33.87938634,44.88284106,51.84602996,39.41018093,37.47944003,34.63933986,26.66024456,21.32819565,18.82193638,45.42628026,25.65594779,18.4950565,8.382918192,5.332048913,0,0,4.924234874,5.332048913,19.29090491,35.08974546,36.08824282,32.93219247,31.5735643,38.97624652,39.41018093,49.59379126,43.20103045,35.90003193,30.34137809,25.17464588,33.94536225,34.15616955,29.05319895,30.7112135,25.37916458,15.14944207,8.381131247,5.332048913,0,0,5.332048913,9.427375492,15.99614674,25.56132289,34.28899919,38.32863916,39.21708424,39.63198424,34.33626538,35.44964818,41.18193213,42.6563913,46.51398103,33.94536225,26.66024457,28.47023615,22.99025692,27.01995695,20.63460321,15.99614674,10.17605073,5.332048912,0,0,5.332048913,5.332048913,11.61678751,26.51645196,33.88695165,24.49650673,32.46354641,30.89337181,16.42206496,32.22596314,30.13358811,30.33924507,23.86250805,28.69179448,24.92065346,18.61757115,22.39291746,18.53045913,40.45797623,34.76218243,14.54733775,10.66409782,2.289183951,0,0,5.332048914,8.469057607,28.20897055,29.50663269,33.34606351,38.3890642,18.7816044,33.70382171,36.97234515,29.61451104,33.55259046,29.60585072,29.99139528,24.2738018,19.28445798,20.44811664,24.89348784
4,1172.952369,536.2777556,294.3547799,172.2611074,17.02479325,0,2.036881063,307.6665871,591.0850676,1074.40965,1469.782491,1604.585824,1345.648764,1259.417107,1475.555782,1748.205984,1851.221245,1861.101809,1758.765653,1524.803087,1386.140076,1198.038755,1312.174658,1055.763313,769.2310604,644.8454151,353.2521368,161.8692119,33.17481296,0,0,282.2719735,512.8509708,1264.266765,1441.366598,1524.366166,1548.997192,1176.699732,1398.874107,1435.818061,1941.733817,1791.626272,1813.699281,1799.635888,1337.53668,1482.522104,1238.932085,1198.653256,936.8200772,545.3107962,325.339505,266.839391,64.35430035,0,87.39898009,305.5085302,586.4343105,1417.971496,1373.770889,1604.641696,1494.326666,1534.503496,1592.135066,1665.512164,1746.872842,1625.224899,1571.861457,1769.868773,1394.438054,1165.775274,1165.317394,1204.988546,890.3858418,555.6151641,356.360359,243.9102611,128.1726033,0,234.7211783,301.669666,647.006454,1199.408216,1599.704671,1430.810563,1466.840113,1412.774428,1535.746964,1815.042802,1577.794141,1581.87172,1439.954182,1454.7193,1489.083102,1514.881411,1360.732935,1184.325458,978.9812155,628.077066,367.0357572,238.2748502,0,0,287.4094713,346.2681671,735.3278529,1216.112568,1527.185946,1590.217947,1558.387153,1453.134105,1557.691876,1428.038428,1518.940785,1762.942511,1846.670294,1601.637123,1272.581708,1213.494719,1039.092595,1042.038458,922.2081437,720.9081418,329.8635575,251.9517527,5.057768472,0,212.2922753,294.3547799,471.5815904,1185.356448,1414.343084,1273.346319,1484.935901,1273.437481,1265.668521,1642.237262,1179.317016,1517.727661,959.8627516,1187.869926,938.0939743,1065.54148,1150.560907,845.850369,1658.750751,1318.283541,699.9203614,423.2903316,89.58821637,0,31.00299158,178.2742792,392.9738857,1016.18272,1556.619527,1217.736279,1424.653391,1075.375143,1627.628112,1434.965684,1411.719316,1635.109235,1504.604135,1448.824921,1143.821357,991.5338679,1146.076188,957.771395
5,27.68351313,18.45567542,9.227837709,9.22783771,0,0,0,9.22783771,15.11703412,27.87670464,56.03399435,48.33950128,53.95059065,49.5339199,51.45473976,68.46033376,70.23483315,68.25967904,61.70805902,49.26996087,43.41849743,32.43859003,44.13085274,36.91135084,19.74188775,14.13017702,18.45567542,1.21023228,0,0,1.416435606,9.22783771,16.81106836,36.91135084,39.35088326,63.87057122,62.95431308,55.36702626,70.87603859,58.55902156,76.05209531,63.18109096,61.29203351,61.79496207,41.08613861,41.39665797,37.42972679,36.95627439,27.68351313,18.45567542,9.22783771,6.359041693,2.988436936,0,0,9.22783771,13.74324391,52.02590473,86.00115396,63.17842836,51.22634859,53.95059065,76.82832922,63.36189863,54.41139609,76.20443932,54.52514425,43.9870806,37.34623383,36.91135084,44.5907229,32.70935807,27.9234164,14.09313151,9.22783771,3.357042446,0,0,0,9.22783771,18.45567542,30.10997608,38.94443699,54.04094469,48.82701253,53.95059065,49.55767808,55.47299827,64.03052007,54.335241,50.73346441,55.39121936,45.93985662,37.39115739,40.77150871,32.2107089,27.68351313,15.17606719,9.227837711,4.067269688,0,0,0,9.22783771,18.45567542,32.28318589,55.5571394,63.54855492,62.11218104,63.26224767,59.43265172,74.78491845,56.87962273,53.73859565,71.59239732,37.42314192,41.2778008,38.32778645,42.61140498,34.20756357,30.92927015,19.87211103,15.82039105,9.22783771,0,0,0,9.22783771,18.45567542,41.36052402,46.13918855,59.97545717,57.93227767,57.53276209,63.0943095,79.01284427,60.2355858,113.6160168,78.17707005,64.63666105,53.23006321,45.24225318,47.55562416,39.77562662,69.06469206,54.27579366,27.68351313,18.45567542,0,2.452132559,0,9.22783771,17.27789456,38.22995842,67.50877357,53.57494117,56.86450026,53.86647179,59.07571909,67.72929484,62.37760748,53.53792434,58.14719844,66.13461347,48.23044041,47.85341386,35.22557268,38.44268145
6,214.1370173,97.60625062,32.89343695,32.89343695,0,0,0,32.89343695,80.05392745,121.9565306,194.5234041,215.483509,323.5680423,316.2911619,305.2352557,381.2740092,301.4921375,341.8880978,309.4786075,278.1544936,439.4960404,190.5911226,297.4136741,253.0895549,160.0612432,160.0225681,49.37426771,3.833094969,17.14830137,0,0,44.20612713,64.34149956,158.1521841,162.5923871,228.0638522,259.4003664,270.1599184,324.3151354,307.6948085,341.564372,343.9365805,346.6096992,240.2123143,289.4451602,271.7259064,266.3845152,289.5790586,159.4771242,104.1243576,49.09406833,25.28456166,13.55292941,0,4.048335358,32.89343695,70.40068493,158.9063462,294.834319,304.4746545,247.1584205,220.9068264,462.8315834,297.1382741,325.3446034,328.4041431,247.3341436,198.444492,305.0008011,228.2087556,298.7044727,205.1897625,198.7383473,75.72194174,32.89343695,32.89343695,3.822954493,0,0,32.89343695,65.78687391,120.191762,179.1446507,188.9790359,268.3778532,298.5637764,262.1573044,253.5277394,295.0443046,320.4556185,262.3796605,247.495507,306.5472131,311.5926802,195.0592262,264.3255194,149.1536975,65.7868739,32.89343695,32.61509013,16.62864658,0,0.58902174,35.23251614,72.54207539,136.8794313,202.8223447,280.3427945,284.9824647,267.3297532,276.708291,290.7390764,276.7320227,295.3858575,260.3748278,336.5485459,301.1359704,280.5919972,214.7132037,188.5065835,130.1883712,69.43950182,67.83691544,32.89343695,0,0,0,38.93044394,57.93353682,256.7750574,169.5768753,222.5783495,298.5215444,347.0115675,395.8152246,438.2011053,366.6505214,558.3139362,440.9059196,459.2204939,446.0021928,343.8808505,284.5189632,203.001263,399.5724746,384.3763153,142.873878,64.72172778,42.7196431,0,4.304933205,33.42532831,37.39363848,146.4249325,237.2789215,254.8439217,310.7656935,344.2008349,359.8722475,391.0755907,471.9975062,376.8525529,380.6915052,345.7919534,526.6689912,325.4451773,274.8369277,426.4793758
7,1353.014591,932.442476,257.4121495,64.59508518,11.98786936,0,0,94.9345339,413.2177239,1000.618841,1730.386617,2106.236455,2559.22972,2569.181644,2573.788435,3177.269804,3132.107885,3139.615348,2948.912342,2349.869196,2723.343618,2166.496257,2046.166844,1977.531119,1012.025723,501.6361761,262.6100264,71.0596423,59.79701079,0,0,234.6942658,501.0447572,835.1581593,1416.049134,2050.802125,2659.919762,2631.202566,3071.793408,2932.854823,2771.149005,3366.477909,2733.934866,4238.418179,2338.579968,2697.29578,2102.594192,1637.139132,1072.71495,596.4781821,327.4330576,77.49855545,38.7044038,0,19.04604706,99.98473297,709.6458217,1070.236154,1521.395237,2172.684051,2205.667803,2530.151421,3049.242969,3752.475928,3537.082408,2694.713684,2661.634224,2269.945409,2546.799776,2069.631229,2260.226464,1274.455795,944.2543598,331.4022444,217.491674,105.3308168,33.13298638,0,0.937788231,174.8297825,226.4590108,790.7494569,1688.079782,1707.487884,2229.94964,2466.940091,2347.379694,2675.395455,2605.825688,2912.519408,2672.991725,2847.673923,2243.549727,2357.371407,1830.153756,1668.719028,897.5000717,478.0064894,245.2828726,46.58365179,66.27834437,0,81.78753632,82.55788973,283.780924,939.8019495,1588.649694,1956.287867,1998.043186,2231.663869,2916.697712,3190.754256,2715.701304,2914.851271,2640.695968,2839.356546,2311.863763,2293.881223,2244.918618,1530.573718,853.7353622,577.7008622,374.9925167,93.51255819,4.569200277,0,0,116.2127094,249.0210879,909.2232767,1496.173539,2154.601057,2587.767504,3209.438903,4455.775985,4578.683678,4719.193964,4395.82704,4208.061759,4044.379767,3791.223653,4338.892895,3425.63107,2267.005231,2676.085039,2172.438157,1018.757234,250.3789143,112.1149232,88.86362356,24.4467055,197.4377002,340.2897493,734.4373514,1947.491796,2316.48291,2144.663335,3225.095854,3299.349858,4230.488851,3740.54223,3785.8728,3566.399535,3100.344594,3346.241702,3068.171639,3156.896508,1774.533323
8,1933.925631,1313.754035,378.0732914,214.7090978,37.78403828,68.45313451,78.51713337,360.1845645,461.5619125,1200.512375,2237.355822,2090.047316,2671.75825,3423.789556,3714.726673,4602.228362,4318.079333,4285.807966,3646.572335,3647.668105,3627.662613,3231.12786,2784.089541,2064.906177,1532.841187,979.1386797,401.6421397,159.0705865,81.08349945,0,13.86380877,125.7075121,473.3164494,1013.224677,1872.014555,2160.283369,2675.853286,3355.085447,4368.34452,4161.02438,4469.963438,4366.504334,3835.107039,3420.995853,3148.798911,2785.660414,2333.514465,2225.417466,1218.055686,931.8608519,308.5868866,146.9761955,39.72868424,35.21460026,56.61866963,193.8628498,502.0150113,1287.501992,2240.568445,2615.331372,2669.939427,3635.889634,3582.0242,4576.416659,4143.701073,3743.433641,3671.159809,3100.978356,3368.60781,3396.766489,2965.472802,1951.572407,1126.15915,871.0558603,331.9940156,270.8865558,39.14335294,0,0.840324681,247.3105435,392.1199529,971.0360305,2764.879164,2375.749314,2887.839339,2746.596544,3863.058884,3848.021951,3710.985738,4312.06177,3897.043158,3456.399926,2943.589385,3379.913305,2519.880498,1974.317275,1082.380207,733.8423374,452.3963965,163.7423014,30.86112,0,21.20766079,166.1951302,491.3458219,1444.754744,2531.576956,2284.374237,2176.007104,3136.637304,3448.167912,4291.377496,4099.509288,4262.279616,3434.245172,3070.265512,2992.535511,3422.40483,2514.996069,2002.859116,1237.214783,826.2693753,422.7300065,124.6707375,43.35076656,0,8.747301206,200.9748839,617.581769,1188.081207,2369.922886,2764.05545,3592.25627,4455.016312,5890.231425,6410.244817,6021.018171,6558.085091,6053.554578,5077.990305,4822.386056,5001.280804,3638.077482,2986.75847,2971.896234,2253.578405,1174.122816,416.4635394,50.25631983,0,15.75552333,122.2696628,618.076652,1297.087023,1676.40022,3162.242691,3395.961962,3856.768786,5525.665615,5039.421397,5358.177211,5304.533005,5690.069246,4499.20989,4108.386414,3755.944244,3120.375802,2276.119769
9,129.9861454,79.20802584,61.98440344,33.2598939,14.58764305,0,0,59.10627843,120.7073443,318.9294494,326.6796102,507.7145908,304.7659465,371.9364348,438.0640342,453.3430676,386.517506,389.6424812,371.6627039,376.5839863,271.1706163,272.738912,243.0875226,233.6875179,127.8468547,60.16230864,66.0925392,0,0,0,10.32653057,60.16230864,165.2839643,304.5647086,318.3055236,370.1917682,398.1889674,344.9932585,393.3664382,461.0163112,407.043684,453.5029408,379.2834406,314.3798028,331.5988059,287.5213115,286.9956866,209.1008633,127.8468547,95.51839041,56.41475926,0.193799247,0,0,0,60.16230864,139.4142293,230.0286297,299.0422449,355.5702729,291.8543074,292.1580206,447.488286,436.3456313,562.593055,719.4024367,329.9337744,336.82255,319.7546942,241.0473705,264.5140673,250.5090415,227.6984846,72.98533006,65.86859698,2.967907143,2.474815148,0,14.61500301,60.16230864,180.4836433,321.6455435,283.0023321,341.0883816,250.1239003,332.7125829,359.3176452,374.4270853,333.610086,474.7075131,357.2231506,405.6628597,380.1103551,308.5652737,249.4662723,186.831184,110.811081,86.34881712,60.01068843,3.456504002,0,0,0,60.16230864,176.2761558,244.2546158,275.1762245,374.1949894,330.8652501,333.8293005,391.5051359,381.889693,448.7144805,410.2809367,352.2583658,375.2851598,263.0949116,198.8343798,336.90924,247.5129209,193.5597624,101.1220342,50.76557529,34.72275361,0,0,43.50852012,60.16230864,150.0879119,304.1233074,281.5727332,276.5601737,319.6285457,394.1998733,356.5196249,364.266187,421.4636677,350.7261207,434.5685231,311.5918687,196.8910813,235.6550524,237.9134835,164.1870025,252.7103568,200.3391129,104.2493558,74.08746508,0,0,0,31.53308622,110.6539603,208.905507,266.4799372,286.1767773,290.7346035,313.8973734,313.987231,358.112238,336.8184974,349.6869636,282.7090134,365.5648983,267.8584171,251.2564875,279.7754777,158.8147852
10,100.5541766,84.15789074,32.09746154,16.63714814,0,0,0,42.31198514,54.19539002,113.308118,83.05745791,76.83435944,68.67189266,68.34500356,108.5388089,69.65246661,95.72913838,75.322801,100.8490364,93.23821894,80.33829663,78.49495974,111.4362077,120.4083443,67.8098723,64.35365739,23.15764334,8.070374351,0,0,2.344483306,33.96042828,66.51713815,104.8613859,94.72204105,90.21709306,102.7884832,87.88363224,100.4642062,88.41190556,76.61542321,155.425242,91.30052449,101.2978303,96.94030736,132.8251538,140.2050656,130.0976282,108.8885344,48.95274547,38.17391359,15.05924932,0,0,21.63619555,42.79138824,67.90904964,89.08377143,90.52135317,109.4764976,68.5322257,94.93392209,67.76832184,111.8275584,82.50419571,91.46142881,77.55217322,80.08996339,93.57725341,134.0953981,144.5250365,134.4128409,63.89631415,56.12343083,31.36933883,14.77447367,0,0,0,33.96042828,61.94921509,104.3847499,73.7132703,105.445425,60.089154,76.86564378,99.36247466,64.49475865,109.7013187,84.82390093,66.10107505,86.81376158,78.21000349,92.61244649,115.2630059,109.325013,62.5632053,72.88360097,21.10295859,17.83390296,0,0,0,33.95023236,67.92085656,101.8051236,100.1917364,85.58588594,62.35873967,77.74646329,90.61387931,76.4629978,78.31600998,63.90790899,68.9746001,99.71026503,101.5674193,103.4469908,169.6357015,102.6129937,77.2527662,59.16599577,24.12457937,26.07962678,0,0,0,33.96042828,55.45438977,153.3116134,106.5910528,107.8706799,88.2552625,95.06755673,89.0093929,138.7505417,106.3631209,120.5742717,72.68499505,93.6435894,108.1491355,95.1181182,101.5742753,126.1438083,157.9561903,89.70041871,67.59780676,31.96711188,0,0,0,34.18949293,49.22895007,82.76877096,102.7129786,175.5596479,154.2705902,98.95812988,118.0086944,141.7931478,128.5676121,129.209552,147.3640422,104.3996327,131.927513,157.737664,153.2493236,127.6579829
11,92.50827393,53.59556724,2.872906915,0,5.97111753,0,0,26.6064587,61.66125593,168.285012,187.7584082,167.3712315,127.5163661,152.1622417,191.02846,148.2585354,190.3954775,170.5243032,155.7651109,195.8814256,136.6376751,97.04021757,149.5648756,106.60036,74.90763165,54.92101195,23.74960772,0,0,0,0,36.13476823,59.81799903,165.8822718,164.5531362,114.8507628,114.4698001,185.6392911,141.0622559,194.5063553,143.1004612,184.1302116,196.5918385,173.4985552,232.7437461,124.6175618,111.7939108,107.3960584,87.51149761,65.0865113,14.28562723,0,0,0,0,49.52867472,64.55519356,132.3991918,125.1763817,125.6100443,131.3728958,186.5355316,146.2060012,135.5497947,151.1471945,132.2947609,282.300025,171.7337547,141.0153648,104.9548483,124.4277241,99.24607112,59.56137458,62.07186982,15.21684892,2.468307766,0,0,8.667382059,52.18431944,100.249783,208.4153834,153.5276834,149.8499578,138.7910481,163.1411672,157.6361775,203.0033756,288.1367083,164.0762202,138.3613353,147.1102422,144.4009488,140.5268076,189.4109732,107.06641,82.41050333,66.79604771,26.66126349,0,12.1411764,0,0,54.69007854,67.7381319,187.2936633,179.9709279,172.5621405,134.2074693,169.3513155,233.2380805,204.4227856,186.3700915,152.8617784,188.5860176,149.5814775,188.0131079,230.7810338,124.9419033,130.2501134,87.13485463,104.1267906,56.91132402,6.280702603,0,0,0,39.68437612,92.44296341,159.7620913,152.2940849,154.2085343,170.3194096,165.6725759,191.2550468,333.2357418,293.618432,272.6602838,192.5217887,157.4115178,167.1969674,141.665548,167.9217432,146.9775385,231.1163445,150.8440137,24.29045577,3.573453638,0.704232733,0,60.61315168,29.30238775,95.96786426,152.8622332,141.6833348,133.0014449,155.7517018,157.0881796,149.0303725,257.9340737,238.7738734,155.4599651,245.3923839,203.3600392,116.3707944,160.9953612,136.0629529,188.7723286
12,160.7491346,60.71122077,9.445790374,3.952437727,0,0,0,55.5988124,91.68419602,181.3869259,486.0412071,570.4933765,537.5286219,517.1334069,591.5109147,598.4374697,642.5225472,641.9675613,555.3822868,328.3611943,201.1473421,140.0055475,131.619246,146.9153221,108.8277533,79.15678921,43.60136625,0,0,0,0,55.5988124,95.45539265,191.1826862,517.5323484,465.9060841,619.8959998,527.8945514,536.4715856,621.6616373,636.9389129,599.0062253,659.6104035,487.7835461,230.3658275,149.5708215,175.7834789,152.883808,106.4586992,61.29914314,40.09077897,0,0,0,7.118063925,101.747125,87.82630945,152.0311767,534.0708659,633.6274143,560.061051,509.8808143,587.0313951,676.6549003,568.9271804,528.2403168,588.7332637,332.0126574,169.85169,187.9492915,161.8290882,142.016033,111.3942884,81.89245165,28.42185955,9.330330397,0,0,9.445790374,66.43878978,111.2130846,313.862229,594.1109157,571.656459,596.0521604,565.6963936,484.3924096,644.9209918,704.5136031,659.4770343,584.0460706,397.529616,192.7534432,178.6964274,185.824017,212.3782567,108.8230891,56.83453244,54.03003823,5.84100579,0,0,0,80.25323304,105.6854116,251.2076193,552.7828607,581.8324974,552.8346542,542.9843088,609.2348395,634.699909,556.7626539,595.000026,605.1973882,426.9380967,266.2156392,192.9290225,238.732126,229.0456855,160.1347794,106.9026776,63.86377295,18.69153478,2.029933213,0,4.268992186,54.82019414,170.505568,384.4954423,673.0827327,581.5612264,551.4323998,636.3735668,580.6439572,850.4527271,664.3393631,570.4094389,479.5432439,298.0482518,204.6490736,152.9679844,218.8280959,200.9340961,245.1429899,146.3401468,85.44050653,19.91668373,0,0,42.7550621,55.58637849,96.65650088,333.4361517,536.754775,611.4798906,617.0520671,566.1224087,617.6494403,656.4616592,600.9926546,589.4979242,585.7199431,357.1646927,218.4223694,157.8377872,83.24886664,130.189909
